evento,inicio,fin,area_inundada_km2,duracion_dias
DFO_1818_From_20011026_to_20011115,2001-10-26,2001-11-15,0.0,20
DFO_1996_From_20020720_to_20020731,2002-07-20,2002-07-31,959.5,11
DFO_2588_From_20041120_to_20041127,2004-11-20,2004-11-27,1027.2,7
DFO_2625_From_20050211_to_20050226,2005-02-11,2005-02-26,1149.9,15
DFO_2753_From_20051019_to_20051025,2005-10-19,2005-10-25,0.0,6
DFO_2761_From_20050915_to_20051216,2005-09-15,2005-12-16,1063.7,92
DFO_2823_From_20060322_to_20060602,2006-03-22,2006-06-02,68.4,72
DFO_3080_From_20070519_to_20070627,2007-05-19,2007-06-27,57.5,39
DFO_3212_From_20071001_to_20071210,2007-10-01,2007-12-10,1025.7,70
DFO_3311_From_20080527_to_20080528,2008-05-27,2008-05-28,426.2,1
DFO_3421_From_20081213_to_20081214,2008-12-13,2008-12-14,792.0,1
DFO_3452_From_20090212_to_20090216,2009-02-12,2009-02-16,44.2,4
DFO_3750_From_20101115_to_20101220,2010-11-15,2010-12-20,946.6,35
DFO_3754_From_20101125_to_20101220,2010-11-25,2010-12-20,820.0,25
DFO_3876_From_20111109_to_20111222,2011-11-09,2011-12-22,89.1,43
DFO_4495_From_20170804_to_20170821,2017-08-04,2017-08-21,908.9,17
